#tail	head	KSP index
SRC	P08069	1
SRC	P16473	2
P08069	P16473	3
P16473	P04899	4
P16473	P08069	5
P16473	P05023	6
P16473	P08754	7
P16473	P27797	8
P16473	Q9Y2W7	9
P16473	Q14344	10
P16473	P27824	11
P16473	P63096	12
P16473	O95467	13
P16473	P40763	14
P16473	P09471	15
P16473	P27986	16
P16473	P50148	17
P16473	P23458	18
P16473	O60674	19
P16473	P29992	20
P16473	Q03113	21
P16473	P11021	22
P16473	Q14160	23
P04899	P16473	24
P05023	P16473	25
P08754	P16473	26
P27797	P16473	27
Q9Y2W7	P16473	28
Q9Y2W7	SNK	29
Q14344	P16473	30
P27824	P16473	31
P63096	P16473	32
P40763	P16473	33
P40763	SNK	34
P09471	P16473	35
P27986	O00459	36
P27986	P42336	37
P27986	P16473	38
P27986	P01112	39
P23458	P16473	40
P23458	O15524	41
P23458	O14543	42
O60674	P16473	43
P29992	P16473	44
Q03113	P16473	45
P11021	P16473	46
Q14160	P16473	47
O15524	P23458	48
O14543	P23458	49
O00459	P42336	50
O00459	P27986	51
O00459	P01112	52
P42336	P27986	53
P42336	O00459	54
P01112	Q12967	55
P01112	O00459	56
P01112	P27986	57
P01112	P42336	58
P01112	P04049	59
