#tail	head	num_paths
P00533	Q9UBB6	1
Q9UBB6	Q08117	1
P00533	P10275	34
P10275	P35869	2
P00533	Q13885	1
Q13885	P27540	1
P00533	P18031	2
P18031	P15336	1
P00533	P06748	4
P06748	P38398	1
P10275	P49715	2
P10275	P16220	2
P10275	Q92793	1
P00533	P35222	1
P00533	P40938	1
P40938	Q9UER7	1
P00533	Q68CZ2	2
Q68CZ2	P17844	1
P06748	Q09472	1
P00533	P18074	1
P10275	P19447	2
P00533	P03372	1
P10275	P41161	2
P00533	Q14192	1
P10275	P55317	2
P00533	Q00535	1
Q00535	Q12778	1
P10275	P35269	2
P00533	P02545	2
P02545	P13984	1
P10275	P32780	2
P10275	Q13888	2
P10275	Q13889	2
P10275	Q92759	2
P00533	Q8TDI0	1
Q8TDI0	Q13547	1
P00533	P54577	1
P54577	P05412	1
Q68CZ2	Q15788	1
P10275	Q15596	2
P00533	Q05397	3
Q05397	Q9Y6Q9	1
P10275	Q13772	2
P06748	Q14686	1
P00533	Q99933	2
Q99933	O75376	1
Q99933	Q9Y618	1
P02545	Q15233	1
P10275	Q15466	2
P10275	P13056	2
P00533	Q9UQF2	1
Q9UQF2	P49116	1
P00533	P04150	1
P00533	Q12933	2
Q12933	P48552	1
P10275	Q96L73	2
P00533	P61978	4
P61978	Q9UQ80	1
P00533	P09874	1
P10275	Q9HBE1	2
P18031	O75925	1
Q12933	O75928	1
P61978	Q9Y6X2	1
P00533	P04075	1
P04075	Q8N2W9	1
P10275	Q9UM63	2
P10275	P14859	2
P00533	P20936	1
P20936	P06400	1
P10275	Q9NYW8	2
P10275	Q9UBS8	3
P10275	P78317	2
Q05397	P62256	1
P62256	Q9Y252	1
P10275	Q01196	2
P10275	Q13950	2
P00533	P42684	1
P42684	Q15637	1
P10275	Q96ST3	2
P61978	Q96EB6	1
P61978	P84022	1
P10275	Q92922	2
P10275	Q969G3	2
P06748	P08047	1
P10275	O95238	2
P10275	Q05066	2
P00533	P40763	1
P10275	P15884	2
Q05397	O43294	1
P00533	Q8N163	1
Q8N163	Q8IXH7	1
P10275	P82094	2
P10275	O96028	2
P00533	P13010	1
P00533	P12956	1
P40189	P10275	66
P10275	Q08117	1
P10275	P27540	1
P10275	P15336	1
P10275	P38398	1
P40189	P08631	3
P08631	Q92793	1
P08631	P35222	1
P10275	Q9UER7	1
P10275	P17844	1
P40189	P12830	2
P12830	Q09472	1
P10275	P18074	1
P10275	P03372	1
P08631	Q14192	1
P10275	Q12778	1
P10275	P13984	1
P12830	Q13547	1
P40189	P15498	3
P15498	P05412	1
P10275	Q15788	1
P10275	Q9Y6Q9	1
P10275	Q14686	1
P10275	O75376	1
P10275	Q9Y618	1
P10275	Q15233	1
P10275	P49116	1
P10275	P04150	1
P10275	P48552	1
P10275	Q9UQ80	1
P10275	P09874	1
P10275	O75925	1
P10275	O75928	1
P10275	Q9Y6X2	1
P10275	Q8N2W9	1
P10275	P06400	1
Q9UBS8	Q9Y252	1
P10275	Q15637	1
P10275	Q96EB6	1
P10275	P84022	1
P10275	P08047	1
P40189	P40763	1
P10275	O43294	1
P10275	Q8IXH7	1
P15498	P13010	1
P15498	P12956	1
