#tail	head	KSP index
SRC	P04234	1
SRC	P07766	2
SRC	P09693	3
SRC	Q96P31	4
SRC	Q9HD43	5
SRC	Q12913	6
SRC	P04435	7
P04234	P07766	8
P04234	P04435	9
P07766	P16333	10
P07766	P04234	11
P07766	Q13432	12
P07766	P43403	13
P07766	P09693	14
P07766	Q6PIZ9	15
P07766	P19338	16
P07766	P04435	17
P09693	P04435	18
P09693	P07766	19
Q96P31	P43403	20
Q9HD43	P06239	21
Q12913	O43561	22
Q12913	P19174	23
P04435	P07766	24
P04435	P04234	25
P04435	P09693	26
P16333	P15498	27
P16333	Q13153	28
P16333	P07766	29
P16333	Q13094	30
P16333	Q92918	31
P16333	O15117	32
P16333	P42768	33
Q13432	P07766	34
Q13432	P20963	35
Q13432	P01730	36
Q13432	P06239	37
Q13432	P06241	38
P43403	P68366	39
P43403	P15498	40
P43403	Q9UJU6	41
P43403	Q9H6Q3	42
P43403	O43561	43
P43403	Q96P31	44
P43403	P15941	45
P43403	P62993	46
P43403	P00519	47
P43403	Q8IWV1	48
P43403	P29353	49
P43403	P51452	50
P43403	Q13094	51
P43403	P07766	52
P43403	P46109	53
P43403	P46108	54
P43403	P20963	55
P43403	O43516	56
P43403	Q14289	57
P43403	Q9H4E7	58
P43403	Q07889	59
P43403	Q15464	60
P43403	Q9BXL7	61
P43403	P19174	62
P43403	P42768	63
P43403	Q9UQC2	64
P43403	P06127	65
P43403	Q13239	66
P43403	Q8NET5	67
P43403	P20936	68
P43403	P07437	69
P43403	Q9UQQ2	70
P43403	P06241	71
Q6PIZ9	P20963	72
Q6PIZ9	P07766	73
Q6PIZ9	P27986	74
Q6PIZ9	O00459	75
P19338	P07766	76
P20963	P42229	77
P20963	P52333	78
P20963	P26045	79
P20963	Q9H6Q3	80
P20963	Q13432	81
P20963	P62993	82
P20963	P16410	83
P20963	P29353	84
P20963	P43403	85
P20963	Q92608	86
P20963	Q6PIZ9	87
P20963	Q13239	88
P20963	P51692	89
P27986	O00459	90
P27986	P62993	91
P27986	Q6PIZ9	92
P27986	Q8IWV1	93
P27986	O43561	94
P27986	P16410	95
O00459	Q6PIZ9	96
O00459	P62993	97
O00459	P27986	98
O00459	Q8IWV1	99
O00459	O43561	100
O00459	P16410	101
P62993	P27986	102
P62993	Q92835	103
P62993	P19174	104
P62993	Q07890	105
P62993	Q08881	106
P62993	P20963	107
P62993	O00459	108
P62993	Q8IWV1	109
P62993	O43561	110
P62993	Q86WV1	111
P62993	P43403	112
P62993	Q92918	113
P62993	P22681	114
P62993	Q13191	115
P62993	Q14289	116
P62993	O60496	117
P62993	P29353	118
P62993	Q07889	119
Q8IWV1	P27986	120
Q8IWV1	P62993	121
Q8IWV1	O00459	122
Q8IWV1	O75791	123
O43561	O60496	124
O43561	P15498	125
O43561	Q13239	126
O43561	Q13588	127
O43561	Q13094	128
O43561	P19174	129
O43561	Q9UQC2	130
O43561	P62993	131
O43561	O00459	132
O43561	Q15464	133
O43561	P27986	134
O43561	Q92835	135
O43561	P01732	136
O43561	P01730	137
O43561	Q92918	138
O43561	O75791	139
P16410	P20963	140
P16410	P27986	141
P16410	O00459	142
O60496	P62993	143
O60496	O43561	144
O60496	Q92835	145
P15498	P68366	146
P15498	P16333	147
P15498	O43561	148
P15498	P07437	149
P15498	P78314	150
P15498	P50570	151
P15498	P52566	152
P15498	Q15464	153
P15498	Q13094	154
Q13239	P20963	155
Q13239	O43561	156
Q13239	P43405	157
Q13239	P43403	158
Q13588	Q07889	159
Q13588	P29353	160
Q13588	P19174	161
Q13588	O43561	162
Q13588	P06239	163
Q13588	P06241	164
Q13588	Q07666	165
Q13094	P15498	166
Q13094	P16333	167
Q13094	Q08881	168
Q13094	O15117	169
Q13094	Q9UKW4	170
Q13094	P19174	171
Q13094	P42768	172
Q13094	P63104	173
Q13094	Q15464	174
Q13094	O75791	175
P19174	Q13588	176
P19174	P62993	177
P19174	P43403	178
P19174	O43561	179
P19174	Q13094	180
P19174	Q07889	181
P19174	Q07890	182
Q9UQC2	O43561	183
Q9UQC2	P43403	184
Q9UQC2	Q06124	185
Q15464	Q13094	186
Q15464	P15498	187
Q15464	O43561	188
Q15464	O75791	189
Q15464	P43403	190
Q92835	O60496	191
Q92835	O43561	192
Q92835	P62993	193
P01732	O43561	194
P01732	P06239	195
P01730	O43561	196
P01730	Q13432	197
P01730	P06239	198
Q92918	P16333	199
Q92918	O43561	200
Q92918	P62993	201
Q92918	P46109	202
Q92918	P46108	203
Q92918	Q9UJU6	204
Q92918	Q9BXL7	205
Q92918	O14920	206
Q92918	O75791	207
O75791	O43561	208
O75791	Q8IWV1	209
O75791	Q13094	210
O75791	Q15464	211
O75791	Q92918	212
P46109	Q13191	213
P46109	P43403	214
P46109	O43516	215
P46109	P42768	216
P46109	Q92918	217
P46108	P43403	218
P46108	P27986	219
P46108	O00459	220
P46108	Q92918	221
P46108	Q14511	222
P46108	P22681	223
Q9UJU6	Q92918	224
Q9BXL7	O95999	225
Q9BXL7	Q92918	226
Q9BXL7	P43403	227
O14920	P25963	228
O14920	Q92918	229
O14920	SNK	230
P25963	SNK	231
O95999	Q9BXL7	232
O95999	O43353	233
P68366	P43403	234
P68366	P15498	235
Q9H6Q3	P20963	236
Q9H6Q3	P22681	237
Q9H6Q3	P43403	238
Q9H6Q3	SNK	239
P15941	P43403	240
P15941	P06239	241
P15941	P35222	242
P00519	P43403	243
P00519	SNK	244
P29353	P62993	245
P29353	P52566	246
P29353	Q13588	247
P29353	P20963	248
P29353	Q07889	249
P51452	P43403	250
O43516	P42768	251
O43516	P43403	252
O43516	P46109	253
Q14289	P15498	254
Q14289	P62993	255
Q14289	P49023	256
Q14289	P06239	257
Q14289	Q8N5H7	258
Q14289	P43403	259
Q14289	P06241	260
Q9H4E7	P43403	261
Q07889	P62993	262
Q07889	P43403	263
Q07889	Q13588	264
Q07889	P29353	265
Q07889	P19174	266
P42768	Q05209	267
P42768	O15117	268
P42768	Q13094	269
P42768	P43403	270
P42768	P46109	271
P42768	O43516	272
P42768	P60953	273
P42768	P06241	274
P42768	O43586	275
P06127	P29350	276
P06127	P43403	277
Q8NET5	P43405	278
Q8NET5	P43403	279
P20936	P43403	280
P07437	P15498	281
P07437	P43403	282
P06241	Q13588	283
P06241	P15498	284
P06241	Q86WV1	285
P06241	P42681	286
P06241	P43405	287
P06241	P43403	288
P06241	Q14643	289
P06241	Q14289	290
P06241	Q6PIZ9	291
P06241	Q9Y3P8	292
P06241	Q13094	293
P06241	P20963	294
P06241	Q9NWQ8	295
P06241	Q13432	296
P06241	O15117	297
P06241	P16410	298
P06241	P42768	299
Q86WV1	P62993	300
Q86WV1	P06239	301
Q86WV1	P12931	302
Q86WV1	P08575	303
Q86WV1	O95267	304
Q86WV1	P06241	305
Q86WV1	P07948	306
P42681	P06241	307
P43405	Q13191	308
P43405	Q8NET5	309
P43405	Q8IWV1	310
P43405	P51452	311
P43405	Q13239	312
P43405	P22681	313
P43405	P06241	314
Q14643	P06241	315
Q9Y3P8	Q06124	316
Q9NWQ8	P06241	317
O15117	P06241	318
O15117	Q9UI08	319
O15117	Q13094	320
O15117	P42768	321
O15117	P16333	322
O15117	P50552	323
O15117	Q8N8S7	324
O15117	O75563	325
Q05209	P42768	326
Q05209	O43586	327
P60953	P42768	328
O43586	Q05209	329
O43586	P42768	330
O43586	P06729	331
O43586	Q9Y5K6	332
P06729	O43586	333
Q9Y5K6	O43586	334
Q13191	P62993	335
Q13191	P43405	336
Q13191	P43403	337
Q13191	P46109	338
