#tail	head	num_paths
P04626	P08069	1
P08069	P63104	2
P63104	P18846	2
P04626	P49005	1
P49005	Q09472	1
P04626	P03372	1
P04626	Q9UNE7	2
Q9UNE7	Q12778	1
P04626	P15941	3
P15941	O14920	1
P15941	Q9Y6K9	1
P04626	P15498	1
P15498	Q07666	1
P04626	P42684	1
P42684	Q15788	1
P15941	Q04206	1
Q9UNE7	Q13950	1
P04626	P07900	1
P07900	P08047	2
P04626	P42224	1
P04626	P40763	1
P04626	Q15303	1
Q15303	P42229	1
P04626	Q13882	1
Q13882	P51692	1
P08069	P62993	1
P62993	Q09472	2
P08069	P03372	2
P08069	P31946	1
P31946	Q12778	1
P08069	P07900	4
P07900	O14920	1
P07900	Q9Y6K9	1
P08069	P20936	1
P20936	Q07666	1
P08069	Q05397	1
Q05397	Q15788	1
P07900	Q04206	1
P08069	P40763	2
P40763	Q13950	2
P08069	O15524	3
O15524	P42224	1
O15524	P42229	1
O15524	P51692	1
P48357	P67870	2
P67870	P18846	1
P48357	P62993	2
P48357	P08069	1
P48357	P40763	4
P40763	Q12778	1
P67870	O14920	1
P48357	P52333	5
P52333	Q9Y6K9	1
P52333	Q07666	1
P40763	Q15788	1
P48357	O14654	1
O14654	Q04206	1
P62993	P08047	1
P52333	P42224	1
P52333	P42229	1
P52333	P51692	1
